mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_strength,param_learning_rate,param_l2_leaf_reg,param_iterations,param_depth,param_bagging_temperature,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_rmse
28.356214332580567,1.6012190950827707,0.039837646484375,0.01554261470531604,2,0.08,10,1600,7,5,"{'random_strength': 2, 'learning_rate': 0.08, 'l2_leaf_reg': 10, 'iterations': 1600, 'depth': 7, 'bagging_temperature': 5}",-5.463294442526276,-4.931373247015864,-4.949330685862797,-5.422986283657966,-5.360968733512162,-5.2255906785150135,0.23523554266642832,1,5.2255906785150135
4.693161678314209,0.9473226670706124,0.04403505325317383,0.008580976540598036,0.5,0.08,3,800,5,1,"{'random_strength': 0.5, 'learning_rate': 0.08, 'l2_leaf_reg': 3, 'iterations': 800, 'depth': 5, 'bagging_temperature': 1}",-5.47665837368262,-5.012845068133657,-4.997909914362816,-5.4803318626953725,-5.480608468489478,-5.289670737472789,0.23217669435115604,2,5.289670737472789
16.97331738471985,1.8337159789292587,0.07584977149963379,0.06327748953421339,1,0.03,1,800,8,0,"{'random_strength': 1, 'learning_rate': 0.03, 'l2_leaf_reg': 1, 'iterations': 800, 'depth': 8, 'bagging_temperature': 0}",-5.445998268986781,-4.961202745163437,-4.988515700360783,-5.6724279804486475,-5.46152297637902,-5.305933534267734,0.28204176347786675,3,5.305933534267734
14.819743967056274,2.988704611533312,0.027144813537597658,0.00832409698432185,0,0.03,1,1200,7,0,"{'random_strength': 0, 'learning_rate': 0.03, 'l2_leaf_reg': 1, 'iterations': 1200, 'depth': 7, 'bagging_temperature': 0}",-5.591330062014165,-4.980828243898788,-4.952024695893796,-5.607738762610778,-5.430103161135262,-5.312404985110558,0.2893755993398024,4,5.312404985110558
10.822759008407592,0.9990816866251675,0.06291737556457519,0.04155163909211187,0,0.08,15,800,7,0.5,"{'random_strength': 0, 'learning_rate': 0.08, 'l2_leaf_reg': 15, 'iterations': 800, 'depth': 7, 'bagging_temperature': 0.5}",-5.56142835929849,-5.0043432045409935,-4.957428408247235,-5.647343402923871,-5.475311612934739,-5.329170997589065,0.28991029264426615,5,5.329170997589065
6.849427556991577,1.712249774468262,0.078407621383667,0.05594115929442537,0,0.08,7,500,7,5,"{'random_strength': 0, 'learning_rate': 0.08, 'l2_leaf_reg': 7, 'iterations': 500, 'depth': 7, 'bagging_temperature': 5}",-5.561992642664227,-5.0982872078966555,-4.946965432294548,-5.581551057231838,-5.543341037714107,-5.346427475560275,0.26894977498891204,6,5.346427475560275
125.00086255073548,1.587667230651314,0.05789799690246582,0.020994865126523817,5,0.05,10,1600,10,0.5,"{'random_strength': 5, 'learning_rate': 0.05, 'l2_leaf_reg': 10, 'iterations': 1600, 'depth': 10, 'bagging_temperature': 0.5}",-5.553897919086793,-4.97015950504671,-5.05858770036243,-5.7231782830481945,-5.505124655883374,-5.3621896126855,0.2944000842081953,7,5.3621896126855
43.779907655715945,2.065018622081157,0.041793298721313474,0.013190772269745738,0.5,0.05,3,1600,8,0.5,"{'random_strength': 0.5, 'learning_rate': 0.05, 'l2_leaf_reg': 3, 'iterations': 1600, 'depth': 8, 'bagging_temperature': 0.5}",-5.609036366260224,-5.037775587953331,-5.042570739160276,-5.698102783918736,-5.453872486964218,-5.3682715928513565,0.2790671815664195,8,5.3682715928513565
27.087129068374633,2.7614829238543983,0.04810285568237305,0.021914559301452658,0.5,0.05,1,1200,8,0.5,"{'random_strength': 0.5, 'learning_rate': 0.05, 'l2_leaf_reg': 1, 'iterations': 1200, 'depth': 8, 'bagging_temperature': 0.5}",-5.705448689519231,-5.027963697984173,-5.046831694783205,-5.628251440483855,-5.463953323854516,-5.374489769324995,0.2861372580164512,9,5.374489769324995
36.680776262283324,2.1459981240702235,0.04495368003845215,0.009161466407059199,2,0.01,1,1600,8,5,"{'random_strength': 2, 'learning_rate': 0.01, 'l2_leaf_reg': 1, 'iterations': 1600, 'depth': 8, 'bagging_temperature': 5}",-5.526575060113853,-5.017706807628369,-5.0280740336533265,-5.798368226158251,-5.521644706827352,-5.378473766876231,0.3071403718069362,10,5.378473766876231
