actual_price,predicted_price,residual,absolute_error,absolute_percentage_error,model_name,target_used,price_segment,implied_pred_log1p,actual_log1p,log_error_implied
151.89,826.4886288123935,-674.5986288123935,674.5986288123935,4.441363018055129,Lasso,log_target_price,Premium,6.718395365540358,5.029718708572522,1.6886766569678358
151.89,820.1593145513588,-668.2693145513588,668.2693145513588,4.3996926364563755,ElasticNet,log_target_price,Premium,6.710717140019922,5.029718708572522,1.6809984314473994
151.89,813.7200469265447,-661.8300469265447,661.8300469265447,4.357298353588417,Ridge,log_target_price,Premium,6.702844553527356,5.029718708572522,1.6731258449548339
151.89,810.3692455323119,-658.4792455323119,658.4792455323119,4.335237642585502,LinearRegression,log_target_price,Premium,6.6987232470866855,5.029718708572522,1.6690045385141632
129.29,456.8905344797181,-327.60053447971814,327.60053447971814,2.5338427912423094,Lasso,log_target_price,Premium,6.126630147861091,4.86976273521484,1.2568674126462511
129.29,456.25303235063217,-326.96303235063215,326.96303235063215,2.528911998999398,LinearRegression,log_target_price,Premium,6.1252369189616855,4.86976273521484,1.2554741837468457
129.29,454.9352531111333,-325.64525311113334,325.64525311113334,2.5187195692716635,ElasticNet,log_target_price,Premium,6.122350810641649,4.86976273521484,1.252588075426809
129.29,452.07716417794313,-322.78716417794317,322.78716417794317,2.4966135368392233,Ridge,log_target_price,Premium,6.1160624513254245,4.86976273521484,1.2462997161105847
110.99,284.83461862605844,-173.84461862605843,173.84461862605843,1.5663088442747855,Lasso,log_target_price,Premium,5.655413387012809,4.718409581594602,0.9370038054182066
110.99,277.39713691261227,-166.40713691261226,166.40713691261226,1.4992984675431325,ElasticNet,log_target_price,Premium,5.6290486443291226,4.718409581594602,0.9106390627345204
110.99,271.57203685171123,-160.58203685171122,160.58203685171122,1.446815360408246,LinearRegression,log_target_price,Premium,5.6079029345866855,4.718409581594602,0.8894933529920834
110.99,269.31363263120244,-158.32363263120243,158.32363263120243,1.4264675433030223,Ridge,log_target_price,Premium,5.599582887198169,4.718409581594602,0.8811733056035669
64.89,208.06742432191837,-143.17742432191835,143.17742432191835,2.206463620310038,Lasso,log_target_price,Premium,5.342656804350289,4.187986684925728,1.1546701194245612
64.89,205.30145676876148,-140.41145676876147,140.41145676876147,2.163838137906634,LinearRegression,log_target_price,Premium,5.3293384814616855,4.187986684925728,1.1413517965359574
64.89,205.00774570538343,-140.1177457053834,140.1177457053834,2.159311846284226,ElasticNet,log_target_price,Premium,5.32791376859427,4.187986684925728,1.1399270836685416
64.89,201.59946403694187,-136.70946403694188,136.70946403694188,2.1067878569416223,Ridge,log_target_price,Premium,5.311230946386315,4.187986684925728,1.123244261460587
98.19,182.04476438391637,-83.85476438391638,83.85476438391638,0.8540051368155248,Ridge,log_target_price,Premium,5.209730737048027,4.597037202757902,0.6126935342901243
98.19,179.91712414232268,-81.72712414232268,81.72712414232268,0.8323365326644534,ElasticNet,log_target_price,Premium,5.198039048741112,4.597037202757902,0.6010018459832098
98.19,178.333245047588,-80.14324504758801,80.14324504758801,0.8162057750034424,Lasso,log_target_price,Premium,5.189245779193858,4.597037202757902,0.5922085764359561
98.19,168.07862984685093,-69.88862984685093,69.88862984685093,0.7117693232187691,LinearRegression,log_target_price,Premium,5.1303638720866855,4.597037202757902,0.5333266693287833
