model_family_group,target_used,rmse_mean,rmse_median,mae_mean,mae_median,r2_mean,mape_mean,n_models
Boosting,target_price,5.37505030429185,5.37505030429185,3.267475532899481,3.267475532899481,0.8913923715633978,0.28227256481679586,2
Boosting,log_target_price,5.617194337485108,5.617194337485108,3.2619781125157505,3.2619781125157505,0.8813468373634126,0.25300951634245017,2
Tree Ensemble,target_price,5.69450847304136,5.69450847304136,3.3663205128652325,3.3663205128652325,0.8780579269904691,0.2932883268812845,2
Tree Ensemble,log_target_price,5.829126601297569,5.829126601297569,3.371844373866299,3.371844373866299,0.872260513567225,0.2754153098556853,2
Linear,target_price,6.886744417720369,6.882133655495336,4.298131834583584,4.294594565119232,0.8217204540101194,0.3927443588668703,4
Linear,log_target_price,21.592319580890276,21.545048123369632,5.292353375912624,5.2895657166168135,-0.7526691662035381,0.3675996411878871,4
