model_name,target_used,price_segment,count,mae,rmse,mape,median_absolute_error,mean_residual
CatBoost,log_target_price,Low,597,1.347536347343062,1.9468575251374152,0.3240333641042416,0.9638086269142905,-0.48088256624346404
CatBoost,log_target_price,Mid,437,2.367850116282283,3.034195222091427,0.203088955846807,1.8856670247664908,0.36302356010861403
CatBoost,log_target_price,High,252,4.453112994962374,5.82376159929197,0.20090465281076833,3.3587816416206504,1.216071683218862
CatBoost,log_target_price,Premium,174,10.721949286315494,13.784445309253373,0.22148208330671593,9.501414548024062,7.7023745855039705
CatBoost,target_price,Low,597,1.6721371488285186,2.4104023961653107,0.4137181474766354,1.2219149467389059,-0.8974330474739916
CatBoost,target_price,Mid,437,2.5126284669204124,3.27791033290783,0.21661836588600242,1.9524024130069844,-0.19991202179474069
CatBoost,target_price,High,252,4.267656525832036,5.540762685580644,0.19405165316227022,3.5054875010982505,0.4264432785770701
CatBoost,target_price,Premium,174,9.548325146184425,12.431057309004887,0.19864572644803935,7.244537414762114,6.1641219621167025
ElasticNet,log_target_price,Low,597,1.8286042095112183,2.4186785158917523,0.4976694734876619,1.455392014573996,-1.073409312263048
ElasticNet,log_target_price,Mid,437,2.951836066461689,3.6433976095702243,0.24533393294025657,2.6947587102622688,1.3400256803241304
ElasticNet,log_target_price,High,252,6.056947391217361,7.581528779750718,0.27445595167605324,5.004942701271176,2.31186970588338
ElasticNet,log_target_price,Premium,174,21.883924363921953,61.6166376323316,0.3598710801496501,13.284362247664834,0.41443093081017424
ElasticNet,target_price,Low,597,2.3810018276668106,3.1863146630293357,0.5875007789912515,1.7494224260214235,-0.7637095705581525
ElasticNet,target_price,Mid,437,3.153102741999357,4.28945609907135,0.26869606461397133,2.1868574564145753,-0.8386234413159973
ElasticNet,target_price,High,252,5.454060371707579,7.196084998053764,0.2504070053266107,4.157244648014272,-0.8343626688468389
ElasticNet,target_price,Premium,174,12.045344355536933,15.53730373655663,0.23632553833646347,10.151910225258328,8.740821266216074
ExtraTrees,log_target_price,Low,597,1.6214475843552747,2.5563656991663173,0.3808732463219633,1.1099999999999834,-0.6081966555500149
