model_name,target_price_rmse,log_target_price_rmse,rmse_winner,rmse_abs_diff_log_vs_price,rmse_pct_diff_log_vs_price,target_price_mae,log_target_price_mae,mae_winner,mae_abs_diff_log_vs_price,mae_pct_diff_log_vs_price,target_price_r2,log_target_price_r2,r2_winner,final_target_recommendation,target_price_mape,log_target_price_mape,mape_winner
CatBoost,5.482668796037199,5.740718825939275,target_price,0.25805002990207626,0.047066499820049575,3.3708874265773,3.336972207129124,log_target_price,-0.03391521944817599,-0.010061213904913019,0.8870056031750053,0.8761187902110085,target_price,metric_tradeoff,0.3001381413148527,0.2620698288739145,log_target_price
ElasticNet,7.924643994647344,6.943652016400493,log_target_price,-0.980991978246851,-0.1237900376230726,4.718709847403415,4.080683713166899,log_target_price,-0.6380261342365152,-0.135211986934862,0.7639345616401072,0.8187622001307021,log_target_price,log_target_price,0.4257758104923688,0.3193969989722479,log_target_price
Extra Trees,5.938560212216959,6.03166346014768,target_price,0.09310324793072056,0.015677747569046475,3.544157580436593,3.5166026267846187,log_target_price,-0.027554953651974134,-0.007774754092220621,0.8674330653760204,0.8632437796405956,target_price,close_result,0.3094918120127138,0.2935933573104951,log_target_price
Lasso,7.925033700358786,6.942537520305167,log_target_price,-0.9824961800536194,-0.12397375420739716,4.719685129824713,4.080703650824235,log_target_price,-0.6389814790004777,-0.1353864635932205,0.7639113433575739,0.8188203748807095,log_target_price,log_target_price,0.4258699952576119,0.3196124145931767,log_target_price
LightGBM,5.498080284880838,5.529972729464496,target_price,0.03189244458365792,0.005800650941994954,3.2903954452907707,3.253466736833585,log_target_price,-0.03692870845718588,-0.011223182462776144,0.8863694679427716,0.8850473824479749,target_price,close_result,0.2816584849581715,0.2626856423207473,log_target_price
Linear Regression,7.933391687972587,6.926038688234564,log_target_price,-1.007352999738023,-0.1269763348840093,4.724131668348905,4.073571364352324,log_target_price,-0.6505603039965813,-0.13771002793068923,0.763413107853351,0.819680492739666,log_target_price,log_target_price,0.427434405901031,0.3190565431178264,log_target_price
Random Forest,5.687029791255559,5.845638210711046,target_price,0.15860841945548732,0.027889500367901256,3.408452962570801,3.413371326863326,target_price,0.004918364292525013,0.001442990220647015,0.8784251080571819,0.8715492181732418,target_price,target_price,0.3021344203467784,0.2830307412127657,log_target_price
Ridge,7.9248626679770675,6.960178250277927,log_target_price,-0.9646844176991403,-0.12172884983827606,4.720131175851444,4.08681591563627,log_target_price,-0.6333152602151744,-0.1341732330354004,0.7639215334390439,0.8178984637001014,log_target_price,log_target_price,0.4259545165228811,0.3192540433275852,log_target_price
