target_used,rmse_mean,rmse_median,mae_mean,mae_median,r2_mean,mape_mean,rmse_wins,mae_wins,n_models,rmse_weighted_wins,mae_weighted_wins
log_target_price,6.365,6.4789,3.7303,3.7951,0.8464,0.2973,4,7,8,1.25,3.75
target_price,6.7893,6.9316,4.0621,4.1314,0.8218,0.3623,4,1,8,3.25,0.75
