model_name,target_used,price_segment,count,mae,rmse,mape,median_absolute_error,mean_residual
CatBoost,log_target_price,Low,597,1.4258014939312813,2.0734448117517275,0.34385630219549945,1.0406942281961546,-0.4992374226797092
CatBoost,log_target_price,Mid,437,2.3642648286822325,3.0275397695696276,0.20244387448298343,1.8679868870279748,0.4108102041058234
CatBoost,log_target_price,High,252,4.421690183943028,5.7130647053337045,0.20034733499789154,3.387121017354887,1.3473002912369556
CatBoost,log_target_price,Premium,174,10.766242954274526,13.83780062083677,0.22059905848660674,9.258675161633423,7.696396259526307
CatBoost,target_price,Low,597,1.7387285161162818,2.5269593471709237,0.4362194016339273,1.271500260486457,-0.9358074992896519
CatBoost,target_price,Mid,437,2.4806148584296497,3.260049037699037,0.2130067657254153,1.8808102688031223,-0.16156396238402526
CatBoost,target_price,High,252,4.2915401027589795,5.499870402054462,0.19515501657994797,3.632719128257646,0.4169362172594015
CatBoost,target_price,Premium,174,9.87343631984148,12.641816254913355,0.204113119218833,7.709787637052985,6.020527813505452
ElasticNet,log_target_price,Low,597,1.587508964445138,2.1179999427234177,0.41118525382985976,1.2219412955502111,-0.7674884949265207
ElasticNet,log_target_price,Mid,437,2.873162776774523,3.6546370798621393,0.24030734465448794,2.4320250549042246,0.8497502410659108
ElasticNet,log_target_price,High,252,5.99568303342496,7.611863506786622,0.2722106249236512,4.945985115191589,1.496880946368528
ElasticNet,log_target_price,Premium,174,12.89408684814005,16.483543566846393,0.271440430277496,10.23047026740688,6.2525057569284375
ElasticNet,target_price,Low,597,2.6555443093226168,3.4883607574948634,0.6489946470517819,2.056167919822321,-0.7682937935050247
ElasticNet,target_price,Mid,437,3.294532274227898,4.411816772694423,0.2816110846531391,2.5082270414406516,-1.1008116782046375
ElasticNet,target_price,High,252,5.676991352371648,7.639086478977201,0.25799268841626943,4.146406344844438,-1.267837897522917
ElasticNet,target_price,Premium,174,13.986459769586988,18.756123664845965,0.26496941123346557,11.0199136036501,9.620710676934499
ExtraTrees,log_target_price,Low,597,1.738050368051436,2.727496611496862,0.4054125741505668,1.2069010665066946,-0.6677472090201813
ExtraTrees,log_target_price,Mid,437,2.6361761060257454,3.5119022262343833,0.22535036647765422,2.0198378301585294,0.11222424253988968
ExtraTrees,log_target_price,High,252,4.455394465961342,6.087658572622539,0.202855748709778,3.4727104910792317,0.560918827673728
ExtraTrees,log_target_price,Premium,174,10.470433342662803,13.967582731310737,0.2127427360910092,7.676197235273911,7.5443041225971
ExtraTrees,target_price,Low,597,1.8594016061711014,2.9429119691130117,0.4420983000627318,1.2999999999999954,-0.8803179071257012
ExtraTrees,target_price,Mid,437,2.7030708379452437,3.6457283037579655,0.23160972780467606,2.0472333333333266,-0.18233912075036862
ExtraTrees,target_price,High,252,4.44603845806554,6.0581520534649895,0.20235913978386313,3.415900000000045,-0.023693772037726695
ExtraTrees,target_price,Premium,174,10.130825637578678,13.403896446056748,0.2052724489938752,7.531801666666745,6.426797122252998
Lasso,log_target_price,Low,597,1.5879050194778515,2.115692401362184,0.41201410597122934,1.2337349292243411,-0.7733523683416944
Lasso,log_target_price,Mid,437,2.8590834029927654,3.647601619815983,0.23909515903941672,2.434102763585031,0.8464927468062113
Lasso,log_target_price,High,252,6.021296260034664,7.62007471133971,0.2733607987206213,4.9564131654907975,1.5181247693566369
