model_family_group,target_used,rmse_mean,rmse_median,mae_mean,mae_median,r2_mean,mape_mean,n_models
Boosting,target_price,5.490374540459019,5.490374540459019,3.3306414359340355,3.3306414359340355,0.8866875355588885,0.2908983131365121,2
Boosting,log_target_price,5.635345777701886,5.635345777701886,3.2952194719813543,3.2952194719813543,0.8805830863294917,0.2623777355973309,2
Tree Ensemble,target_price,5.812795001736259,5.812795001736259,3.476305271503697,3.476305271503697,0.8729290867166011,0.3058131161797461,2
Tree Ensemble,log_target_price,5.938650835429363,5.938650835429363,3.4649869768239725,3.4649869768239725,0.8673964989069187,0.2883120492616304,2
Linear,log_target_price,6.943101618804538,6.94309476835283,4.080443660994932,4.080693681995568,0.8187903828627947,0.31933000000270906,4
Linear,target_price,7.926983012738946,7.924948184167927,4.720664455357119,4.719908152838078,0.7637951365725191,0.42625868204347317,4
