mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_strength,param_learning_rate,param_l2_leaf_reg,param_iterations,param_depth,param_bagging_temperature,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_rmse
8.067986917495727,0.8686676975006378,0.07012176513671875,0.006182306443484587,0,0.05,7,500,7,1,"{'random_strength': 0, 'learning_rate': 0.05, 'l2_leaf_reg': 7, 'iterations': 500, 'depth': 7, 'bagging_temperature': 1}",-5.599280479452977,-5.157541435406611,-5.0642852631723425,-5.818871415829341,-5.659457670580097,-5.459887252888274,0.29531081256471625,17,5.459887252888274
12.76403636932373,1.3128964051231127,0.07487349510192871,0.015425280230711077,0,0.01,3,1600,5,0,"{'random_strength': 0, 'learning_rate': 0.01, 'l2_leaf_reg': 3, 'iterations': 1600, 'depth': 5, 'bagging_temperature': 0}",-5.703166474189893,-5.258103585374519,-5.250469918852513,-5.94522467480324,-5.803812472243478,-5.592155425092729,0.2863982089731441,25,5.592155425092729
38.567426681518555,2.452549628314488,0.05866484642028809,0.029909860732842006,0,0.05,15,500,10,0.5,"{'random_strength': 0, 'learning_rate': 0.05, 'l2_leaf_reg': 15, 'iterations': 500, 'depth': 10, 'bagging_temperature': 0.5}",-5.737598387975672,-5.32210533327231,-5.134161138802691,-6.149145543247265,-5.669249706679416,-5.602452021995471,0.35199173122532035,28,5.602452021995471
28.356214332580567,1.6012190950827707,0.039837646484375,0.01554261470531604,2,0.08,10,1600,7,5,"{'random_strength': 2, 'learning_rate': 0.08, 'l2_leaf_reg': 10, 'iterations': 1600, 'depth': 7, 'bagging_temperature': 5}",-5.463294442526276,-4.931373247015864,-4.949330685862797,-5.422986283657966,-5.360968733512162,-5.2255906785150135,0.23523554266642832,1,5.2255906785150135
43.779907655715945,2.065018622081157,0.041793298721313474,0.013190772269745738,0.5,0.05,3,1600,8,0.5,"{'random_strength': 0.5, 'learning_rate': 0.05, 'l2_leaf_reg': 3, 'iterations': 1600, 'depth': 8, 'bagging_temperature': 0.5}",-5.609036366260224,-5.037775587953331,-5.042570739160276,-5.698102783918736,-5.453872486964218,-5.3682715928513565,0.2790671815664195,8,5.3682715928513565
9.029866933822632,1.2814150392204886,0.029699134826660156,0.00846857445636612,5,0.01,10,1600,4,5,"{'random_strength': 5, 'learning_rate': 0.01, 'l2_leaf_reg': 10, 'iterations': 1600, 'depth': 4, 'bagging_temperature': 5}",-5.9928853685605405,-5.70253040821067,-5.768953951357417,-6.481808216293257,-6.213223409833117,-6.0318802708509995,0.28790369016532824,37,6.0318802708509995
102.70114192962646,3.881854209392095,0.04215970039367676,0.010530100854392115,5,0.01,1,1200,10,2,"{'random_strength': 5, 'learning_rate': 0.01, 'l2_leaf_reg': 1, 'iterations': 1200, 'depth': 10, 'bagging_temperature': 2}",-5.664526422118416,-5.071672266573153,-5.144509212541172,-6.002559601663374,-5.582643128673056,-5.493182126313835,0.34527406902305374,22,5.493182126313835
125.00086255073548,1.587667230651314,0.05789799690246582,0.020994865126523817,5,0.05,10,1600,10,0.5,"{'random_strength': 5, 'learning_rate': 0.05, 'l2_leaf_reg': 10, 'iterations': 1600, 'depth': 10, 'bagging_temperature': 0.5}",-5.553897919086793,-4.97015950504671,-5.05858770036243,-5.7231782830481945,-5.505124655883374,-5.3621896126855,0.2944000842081953,7,5.3621896126855
4.508758163452148,0.8817573762629906,0.054564714431762695,0.03153432622981548,0,0.03,3,500,5,1,"{'random_strength': 0, 'learning_rate': 0.03, 'l2_leaf_reg': 3, 'iterations': 500, 'depth': 5, 'bagging_temperature': 1}",-5.730030460226845,-5.258975488980422,-5.240728047662609,-5.931886461204284,-5.8175294536871425,-5.595829982352261,0.2897111370159889,26,5.595829982352261
10.641731214523315,2.2621907063926336,0.04988288879394531,0.016847930209401476,0.5,0.03,15,1600,4,0,"{'random_strength': 0.5, 'learning_rate': 0.03, 'l2_leaf_reg': 15, 'iterations': 1600, 'depth': 4, 'bagging_temperature': 0}",-5.7981904081091935,-5.184031829896725,-5.363876375876431,-5.8102223201694185,-5.689915397673391,-5.569247266345032,0.2512420632675648,24,5.569247266345032
