mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_num_leaves,param_n_estimators,param_min_child_samples,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_rmse
7.693955898284912,0.6323085660421334,0.014221858978271485,0.0008728700449095915,0.9,5,0.01,15,800,80,8,0.01,0.8,"{'subsample': 0.9, 'reg_lambda': 5, 'reg_alpha': 0.01, 'num_leaves': 15, 'n_estimators': 800, 'min_child_samples': 80, 'max_depth': 8, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",-6.239597959637437,-6.34783722941916,-6.095383731719007,-6.315065841667202,-6.471914904481998,-6.2939599333849605,0.12442180370684743,38,6.2939599333849605
16.256691932678223,1.1742521536394603,0.026866388320922852,0.005463434895369634,1.0,0.01,1,127,1200,40,8,0.03,0.8,"{'subsample': 1.0, 'reg_lambda': 0.01, 'reg_alpha': 1, 'num_leaves': 127, 'n_estimators': 1200, 'min_child_samples': 40, 'max_depth': 8, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",-5.542393979448381,-5.3507433562355375,-5.213267737085012,-5.736697941973253,-5.81443593220226,-5.531507789388888,0.22637241573612982,18,5.531507789388888
6.645113897323609,2.4859917910248748,0.015369462966918945,0.0024500739165401217,0.7,1,0,31,500,80,-1,0.03,0.8,"{'subsample': 0.7, 'reg_lambda': 1, 'reg_alpha': 0, 'num_leaves': 31, 'n_estimators': 500, 'min_child_samples': 80, 'max_depth': -1, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",-6.206200553555188,-5.9198629199666435,-5.731016713316728,-6.055569309200101,-6.2363156153699055,-6.029793022281713,0.18750334701381433,34,6.029793022281713
10.793389415740966,0.5255790702059765,0.01776256561279297,0.0010464206875024629,0.9,5,1,15,1600,20,4,0.05,1.0,"{'subsample': 0.9, 'reg_lambda': 5, 'reg_alpha': 1, 'num_leaves': 15, 'n_estimators': 1600, 'min_child_samples': 20, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",-5.480537866626995,-5.3320901766875375,-5.139036186534802,-5.593532084915278,-5.711616837941107,-5.451362630541144,0.20028446095540944,7,5.451362630541144
34.09751138687134,0.2623276197943087,0.03652091026306152,0.010873881509930374,0.9,5,0.1,127,800,40,-1,0.05,0.9,"{'subsample': 0.9, 'reg_lambda': 5, 'reg_alpha': 0.1, 'num_leaves': 127, 'n_estimators': 800, 'min_child_samples': 40, 'max_depth': -1, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",-5.6790848058382215,-5.420706986570848,-5.194769577086536,-5.702056940854669,-5.915633588072094,-5.582450379684473,0.24944431124536878,22,5.582450379684473
20.804106521606446,0.38936121474950336,0.027983474731445312,0.000982998447338636,1.0,5,0.01,63,1200,20,8,0.01,0.8,"{'subsample': 1.0, 'reg_lambda': 5, 'reg_alpha': 0.01, 'num_leaves': 63, 'n_estimators': 1200, 'min_child_samples': 20, 'max_depth': 8, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",-5.3719204168140715,-5.458899465574142,-5.1714721785993,-5.782152947538126,-5.717589720008777,-5.500406945706883,0.22493506041850003,16,5.500406945706883
2.330041742324829,0.04823876107701965,0.00720667839050293,0.0011284614648977111,0.7,0.1,0.01,63,500,40,4,0.01,0.8,"{'subsample': 0.7, 'reg_lambda': 0.1, 'reg_alpha': 0.01, 'num_leaves': 63, 'n_estimators': 500, 'min_child_samples': 40, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",-6.06458427386874,-6.109820363513675,-5.976381346764775,-6.484897307580627,-6.73049764240433,-6.27323618682643,0.28714164342848725,37,6.27323618682643
28.87180585861206,1.4284679223676007,0.026584863662719727,0.0018254216602446814,0.7,1,0.1,63,800,40,-1,0.01,0.9,"{'subsample': 0.7, 'reg_lambda': 1, 'reg_alpha': 0.1, 'num_leaves': 63, 'n_estimators': 800, 'min_child_samples': 40, 'max_depth': -1, 'learning_rate': 0.01, 'colsample_bytree': 0.9}",-5.694717543519689,-5.7084529037100795,-5.428799029752335,-5.9623282933379524,-6.358909775853765,-5.8306415092347645,0.313461809066575,31,5.8306415092347645
56.963376903533934,0.19875309410279088,0.06219239234924316,0.003950894655842793,0.9,0.01,0,63,1600,40,-1,0.05,0.7,"{'subsample': 0.9, 'reg_lambda': 0.01, 'reg_alpha': 0, 'num_leaves': 63, 'n_estimators': 1600, 'min_child_samples': 40, 'max_depth': -1, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",-5.690263035395219,-5.520084310794578,-5.296521075521954,-5.7821127937505725,-6.010550440613718,-5.6599063312152085,0.24100053189970888,26,5.6599063312152085
3.574094533920288,0.12085607769775765,0.010341119766235352,0.0004169109849459699,0.8,5,0.1,15,800,80,4,0.03,0.8,"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0.1, 'num_leaves': 15, 'n_estimators': 800, 'min_child_samples': 80, 'max_depth': 4, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",-6.274796507987122,-5.913579456622491,-5.826121715893735,-6.116834604996311,-6.306757795908063,-6.087618016281544,0.19109232072104373,35,6.087618016281544
