sample_id,actual_price,predicted_price,residual,absolute_error,absolute_percentage_error,price_segment
7187,50.999,91.73608226782966,-40.737082267829656,40.737082267829656,0.7987819813531809,Premium
5661,63.05,92.36049784546358,-29.310497845463587,29.310497845463587,0.4648770475019621,Premium
5983,42.7,69.05302663944124,-26.35302663944124,26.35302663944124,0.6171669002066528,Premium
6072,8.39,33.071688306960326,-24.681688306960325,24.681688306960325,2.9417983675826607,Mid
6145,42.45,63.57765074237236,-21.12765074237236,21.12765074237236,0.49770673125735343,Premium
6498,18.006229,38.74745391233019,-20.741224912330186,20.741224912330186,1.1518916543368571,High
6915,25.49,44.449687059939166,-18.959687059939167,18.959687059939167,0.7438088293132742,Premium
5516,32.0,48.8082634975871,-16.8082634975871,16.8082634975871,0.5252582342831825,Premium
7043,23.99,38.51217317978379,-14.522173179783788,14.522173179783788,0.6053427752888056,Premium
5733,20.0,34.475994455729605,-14.475994455729605,14.475994455729605,0.7237997227502903,Premium
5684,20.59,34.805678004049575,-14.215678004049575,14.215678004049575,0.6904166101680019,Premium
6130,20.5,34.46444415770922,-13.964444157709217,13.964444157709217,0.681192397903806,Premium
7130,10.89,24.35089319622672,-13.46089319622672,13.46089319622672,1.2360783466474419,High
6283,17.99,31.33097158666405,-13.34097158666405,13.34097158666405,0.7415770753708991,High
6874,64.89,78.00417673844329,-13.114176738443291,13.114176738443291,0.20209857818217278,Premium
7093,40.9,53.35651472221035,-12.45651472221035,12.45651472221035,0.3045602621492859,Premium
5635,15.999,26.75247613790692,-10.75347613790692,10.75347613790692,0.6721342669688597,High
5654,44.99,55.65527485162586,-10.66527485162586,10.66527485162586,0.23705878753920429,Premium
5916,12.54,22.954841451415614,-10.414841451415615,10.414841451415615,0.8305296212587788,High
5856,20.709,31.08210736424788,-10.373107364247879,10.373107364247879,0.5008985158021624,Premium
7023,38.9,49.18849531688385,-10.288495316883854,10.288495316883854,0.26448574078713033,Premium
6277,62.5,72.57327127008654,-10.073271270086536,10.073271270086536,0.16117234031880584,Premium
5510,12.99,22.976746272804256,-9.986746272804256,9.986746272804256,0.7688026383399117,High
7112,25.99,35.54234012827476,-9.55234012827476,9.55234012827476,0.36753905840350987,Premium
6044,24.0,33.530966640810426,-9.530966640810426,9.530966640810426,0.39712361001722096,Premium
1039,8.5,18.030750208572886,-9.530750208572886,9.530750208572886,1.121264730288426,Mid
6569,27.3,36.299711450114906,-8.999711450114905,8.999711450114905,0.3296597600653936,Premium
1566,11.49,20.41837700750176,-8.92837700750176,8.92837700750176,0.7770563104199046,High
5646,17.5,26.252267854066304,-8.752267854066304,8.752267854066304,0.5001295916323528,High
6481,18.99,27.605786192709,-8.615786192709002,8.615786192709002,0.45370122128779894,Premium
