sample_id,actual_price,predicted_price,residual,absolute_error,absolute_percentage_error,price_segment
3172,1.0,5.516868725907518,-4.516868725907518,4.516868725907518,4.516868721390649,Low
4352,1.0,4.726486262952285,-3.7264862629522852,3.7264862629522852,3.7264862592257986,Low
734,1.7,7.936247357359379,-6.236247357359379,6.236247357359379,3.6683807962888224,Low
6072,8.39,33.071688306960326,-24.681688306960325,24.681688306960325,2.9417983675826607,Mid
1672,1.3,4.805065676591314,-3.5050656765913137,3.5050656765913137,2.696204364534699,Low
764,1.8,6.166516349138036,-4.3665163491380365,4.3665163491380365,2.425842414840108,Low
1144,2.9,9.629750420783417,-6.729750420783416,6.729750420783416,2.320603592573384,Low
3518,1.2,3.954047311996078,-2.7540473119960778,2.7540473119960778,2.295039424750865,Low
3217,1.79,5.8477169186872775,-4.0577169186872775,4.0577169186872775,2.266880958894076,Low
3982,3.0,9.797310826615885,-6.797310826615885,6.797310826615885,2.2657702747833715,Low
3552,1.55,5.0442427768352704,-3.4942427768352706,3.4942427768352706,2.254350177148981,Low
5045,2.8,8.71418226202874,-5.914182262028739,5.914182262028739,2.11220794997019,Low
1421,1.9,5.835102770570423,-3.9351027705704227,3.9351027705704227,2.0711067202627977,Low
2997,3.2,9.766352457423626,-6.566352457423625,6.566352457423625,2.0519851423036375,Low
838,1.2,3.627903939211407,-2.427903939211407,2.427903939211407,2.023253280990128,Low
100,1.4,4.2098050941510365,-2.8098050941510366,2.8098050941510366,2.007003637245738,Low
3341,1.9,5.167491899732656,-3.2674918997326565,3.2674918997326565,1.7197325779015389,Low
3100,2.6,6.760934515036185,-4.160934515036185,4.160934515036185,1.6003594282445484,Low
4103,1.3,3.364540887866232,-2.064540887866232,2.064540887866232,1.588108374060095,Low
5091,1.7,4.382876041275431,-2.6828760412754304,2.6828760412754304,1.5781623762925105,Low
4030,1.7,4.373829790137956,-2.6738297901379555,2.6738297901379555,1.572841052097126,Low
1662,4.7,12.059924354551136,-7.3599243545511355,7.3599243545511355,1.5659413516989773,Low
4394,2.5,6.391221791246954,-3.891221791246954,3.891221791246954,1.556488715876186,Low
5857,4.845,11.80872251127062,-6.96372251127062,6.96372251127062,1.4373008276229762,Low
2882,3.85,9.222694537875851,-5.3726945378758515,5.3726945378758515,1.3955050744104796,Low
3692,2.8,6.589194835602783,-3.7891948356027836,3.7891948356027836,1.3532838693748215,Low
5303,4.25,9.566784570056512,-5.316784570056512,5.316784570056512,1.2510081338365893,Low
6979,5.85,13.101616229153285,-7.251616229153285,7.251616229153285,1.2395925175920843,Mid
4591,3.55,7.947160650219195,-4.397160650219195,4.397160650219195,1.2386368025297347,Low
7130,10.89,24.35089319622672,-13.46089319622672,13.46089319622672,1.2360783466474419,High
