sample_id,actual_price,predicted_price,residual,absolute_error,absolute_percentage_error,price_segment
5008,38.0,4.1539716965401015,33.846028303459896,33.846028303459896,0.8906849553307687,Premium
6456,79.99,46.36538348168566,33.62461651831433,33.62461651831433,0.4203602515051128,Premium
6753,76.79,44.99227094380838,31.797729056191628,31.797729056191628,0.4140868479720997,Premium
5735,99.69,69.70626894691877,29.98373105308123,29.98373105308123,0.30076969658722497,Premium
5683,80.49,52.42392762963756,28.066072370362434,28.066072370362434,0.348690177289275,Premium
6799,56.99,29.92030141482238,27.069698585177623,27.069698585177623,0.47499032434993216,Premium
6067,102.0,74.93329837808223,27.066701621917773,27.066701621917773,0.2653598198201217,Premium
3296,51.0,25.101890570865287,25.898109429134713,25.898109429134713,0.5078060672279786,Premium
5724,62.05,36.37853708025322,25.67146291974678,25.67146291974678,0.4137222065968261,Premium
2572,56.99,32.43024760243082,24.559752397569184,24.559752397569184,0.4309484540645418,Premium
7182,57.28,35.33392875279804,21.946071247201964,21.946071247201964,0.38313671869446275,Premium
6575,38.0,17.05244972250717,20.94755027749283,20.94755027749283,0.55125132307741,Premium
5889,51.0,30.06610291407477,20.93389708592523,20.93389708592523,0.4104685703042111,Premium
6513,39.99,19.87913646085078,20.11086353914922,20.11086353914922,0.5028973127943567,Premium
2770,29.999999,11.296015584519376,18.70398341548062,18.70398341548062,0.6234661346107764,Premium
5978,119.9,101.90827618370128,17.99172381629873,17.99172381629873,0.15005607853335007,Premium
5517,51.999,34.44315886196562,17.55584113803438,17.55584113803438,0.33761882224075007,Premium
6514,69.99,52.43669483912717,17.553305160872824,17.553305160872824,0.2507973304846696,Premium
6845,49.5,32.076170604843746,17.423829395156254,17.423829395156254,0.35199655343038905,Premium
6875,44.199,26.82093977348847,17.37806022651153,17.37806022651153,0.39317767881894056,Premium
7234,54.95,37.79633459969562,17.153665400304384,17.153665400304384,0.3121686151044989,Premium
1870,33.0,16.30285694630152,16.69714305369848,16.69714305369848,0.5059740319149244,Premium
6016,151.89,135.56690776685306,16.323092233146923,16.323092233146923,0.10746653652669338,Premium
4693,29.5,13.216808341566033,16.283191658433967,16.283191658433967,0.551972598572271,Premium
3410,34.0,18.38895934429283,15.611040655707171,15.611040655707171,0.45914825456611835,Premium
6816,50.709,35.196638795656135,15.512361204343868,15.512361204343868,0.30590942838624224,Premium
1512,34.99,19.523443662488862,15.46655633751114,15.46655633751114,0.44202790331720815,Premium
5462,37.19,22.43457685094478,14.755423149055218,14.755423149055218,0.39675781523685033,Premium
5457,53.99,39.482415810709306,14.507584189290696,14.507584189290696,0.26870872733880324,Premium
5433,62.99,48.49718028393716,14.49281971606284,14.49281971606284,0.23008127823198538,Premium
