sample_id,actual_price,predicted_price,residual,absolute_percentage_error,prediction_ratio,price_segment
1662,4.7,12.059924354551136,-7.3599243545511355,1.5659413516989773,2.5659413514862113,Low
2316,2.7,5.477613818002334,-2.777613818002334,1.028745858138366,2.0287458577679955,Low
3552,1.55,5.0442427768352704,-3.4942427768352706,2.254350177148981,3.254350176503819,Low
932,2.0,4.2337813841639615,-2.2337813841639615,1.1168906915235355,2.1168906910235354,Low
5857,4.845,11.80872251127062,-6.96372251127062,1.4373008276229762,2.437300827416578,Low
5372,2.899,5.933567667109843,-3.034567667109843,1.046763596434315,2.0467635960893684,Low
3379,5.0,11.051740375280009,-6.0517403752800085,1.2103480748139321,2.210348074613932,Low
4352,1.0,4.726486262952285,-3.7264862629522852,3.7264862592257986,4.7264862582257985,Low
1672,1.3,4.805065676591314,-3.5050656765913137,2.696204364534699,3.6962043637654682,Low
4490,2.0,0.855982776511663,1.144017223488337,0.5720086114581642,0.4279913880418358,Low
95,7.5,3.7242166538215535,3.7757833461784465,0.5034377794233345,0.49656222044333215,Mid
3692,2.8,6.589194835602783,-3.7891948356027836,1.3532838693748215,2.3532838690176785,Low
5242,5.5,11.584093778559415,-6.084093778559415,1.1061988686278574,2.1061988684460395,Low
3217,1.79,5.8477169186872775,-4.0577169186872775,2.266880958894076,3.266880958335417,Low
19,10.0,4.930360093663536,5.069639906336464,0.50696399058295,0.49303600931705,Mid
2486,4.686,9.939149413904758,-5.253149413904758,1.1210306045206417,2.12103060430724,Low
4100,1.5,3.0618992806392864,-1.5618992806392864,1.04126618639868,2.0412661857320136,Low
1024,4.49,2.1642415857850263,2.325758414214974,0.517986283674162,0.4820137161031208,Low
2997,3.2,9.766352457423626,-6.566352457423625,2.0519851423036375,3.0519851419911372,Low
4591,3.55,7.947160650219195,-4.397160650219195,1.2386368025297347,2.2386368022480445,Low
1042,3.5,0.1144153138705288,3.385584686129471,0.9673099100463317,0.03269008966795392,Low
5303,4.25,9.566784570056512,-5.316784570056512,1.2510081338365893,2.251008133601295,Low
576,26.7,13.300393844816384,13.399606155183616,0.5018579084150471,0.4981420915474997,Premium
4487,4.499999,9.2243156513235,-4.724316651323501,1.0498483778048957,2.0498483775826735,Low
3885,2.3,4.606452958564484,-2.306452958564484,1.002805633722469,2.0028056332876862,Low
6498,18.006229,38.74745391233019,-20.741224912330186,1.1518916543368571,2.1518916542813207,High
4694,11.0,4.52715090409016,6.47284909590984,0.5884408268474,0.411559173061691,High
3100,2.6,6.760934515036185,-4.160934515036185,1.6003594282445484,2.600359427859933,Low
2252,4.0,1.7719991054526485,2.2280008945473515,0.5570002234975878,0.44299977625241216,Low
3282,3.7,7.657380436924082,-3.9573804369240815,1.0695622799606808,2.0695622796904103,Low
1144,2.9,9.629750420783417,-6.729750420783416,2.320603592573384,3.320603592228556,Low
3172,1.0,5.516868725907518,-4.516868725907518,4.516868721390649,5.516868720390649,Low
3341,1.9,5.167491899732656,-3.2674918997326565,1.7197325779015389,2.7197325773752232,Low
4103,1.3,3.364540887866232,-2.064540887866232,1.588108374060095,2.588108373290864,Low
877,9.5,4.67354339471407,4.82645660528593,0.5080480636608297,0.49195193623390715,Mid
4394,2.5,6.391221791246954,-3.891221791246954,1.556488715876186,2.556488715476186,Low
3982,3.0,9.797310826615885,-6.797310826615885,2.2657702747833715,3.265770274450038,Low
4638,2.0,0.3744604554129171,1.6255395445870828,0.8127697718871565,0.18723022761284344,Low
4679,3.95,8.630303860012145,-4.6803038600121445,1.18488705286766,2.1848870526144957,Low
2864,15.3,6.506082687926746,8.793917312073255,0.5747658373528424,0.42523416258179814,High
1966,8.9,3.934000193115072,4.965999806884929,0.5579775063288709,0.4420224935587696,Mid
