correction,mae,rmse,mape,median_absolute_error,mean_residual,underprediction_rate,severe_error_rate,extreme_error_rate,r2
No correction (baseline),3.3103716012606914,5.413634812220809,0.2911762554346475,1.9471591166699702,0.3814327703722282,0.476027397260274,0.14452054794520547,0.036301369863013695,0.8898331839339132
Additive segment correction,3.1902487823402663,5.101172839579746,0.2685440472622306,1.9932780924390396,2.1413616694140006e-16,0.5383561643835616,0.11506849315068493,0.023972602739726026,0.9021833099329689
Multiplicative segment correction,3.181212432604183,5.249413825824518,0.2532138730147193,1.8430283708609398,-0.1533714179009685,0.49931506849315066,0.10547945205479452,0.01986301369863014,0.8964155636579014
Premium-only additive correction,3.22869191389536,5.14085045714449,0.29112941414497684,2.018890039606122,-0.46696254688357985,0.4280821917808219,0.14589041095890412,0.036301369863013695,0.9006557289887349
