model_name,target_used,price_segment,count,mae,rmse,mape,median_absolute_error,mean_residual,median_residual,underprediction_rate,overprediction_rate,prediction_ratio_mean,prediction_ratio_median
CatBoost,log_target_price,Low,366,1.2282387966413002,1.6663438952619025,0.3924679584029194,0.8391039627438697,-0.7654047608367676,-0.5568825598297031,0.29508196721311475,0.7049180327868853,1.2837071828374702,1.16328101498171
CatBoost,log_target_price,Mid,364,1.772701650917766,2.460190882010441,0.22357202931606007,1.3243219588818937,-0.029546713897054173,0.2679519537534345,0.5631868131868132,0.4368131868131868,1.0038556817137607,0.9639200735399606
CatBoost,log_target_price,High,365,2.628939364976383,3.528500284002535,0.18967028089366117,1.9670312538175896,0.40288855722033434,0.6573970481934932,0.5863013698630137,0.4136986301369863,0.9685693337879503,0.9549029952930255
CatBoost,log_target_price,Premium,365,7.59636077262306,10.485603331690845,0.21126165234594074,5.431442489624743,4.553579366324172,3.465007914337651,0.7123287671232876,0.2876712328767123,0.8905814537674477,0.8860089040267963
CatBoost,target_price,Low,366,1.550322788176152,2.1212751771554545,0.5085009401536632,1.07697485887407,-1.1539770474406703,-0.8681980280984742,0.24863387978142076,0.7513661202185792,1.4036402900190634,1.2615569019769817
CatBoost,target_price,Mid,364,2.0608962376540747,2.887778579232532,0.2627564807225453,1.6299914134570912,-0.49269499225637714,-0.06699064984534742,0.49175824175824173,0.5082417582417582,1.0640215961416932,1.0097087896863246
CatBoost,target_price,High,365,2.7374530627978344,3.668258063358162,0.19790848477366121,2.0835021489015,-0.21936641617923372,0.11020029954729793,0.5150684931506849,0.4849315068493151,1.013295034562503,0.9937028399690857
CatBoost,target_price,Premium,365,6.8942131477831365,9.53651382113246,0.1948658435971282,5.164739444357352,3.3935812690232336,2.6292354308304056,0.6493150684931507,0.3506849315068493,0.924105155183626,0.9124242009239399
LightGBM,log_target_price,Low,366,1.227106987102283,1.6795066572688389,0.3929418511479701,0.8946132383499203,-0.7114266015460803,-0.5238743725947836,0.31420765027322406,0.6857923497267759,1.270945383327993,1.1435345139350346
LightGBM,log_target_price,Mid,364,1.7189247531928449,2.566880117857516,0.21781416284920946,1.2425537873896118,-0.01360848949662673,0.26062388228491873,0.5494505494505495,0.45054945054945056,1.0029641234918008,0.9597183312712072
LightGBM,log_target_price,High,365,2.631796912945594,3.508584268346711,0.19073604175676692,2.0367427752979452,0.37169506375809014,0.6619242538003878,0.5835616438356165,0.41643835616438357,0.9712294665933504,0.954674290412967
LightGBM,log_target_price,Premium,365,7.294594786714078,9.979602090984656,0.20466962356848364,5.201773864679524,3.389866063222082,2.8989902302370503,0.663013698630137,0.336986301369863,0.916442154883034,0.8963381284839533
LightGBM,target_price,Low,366,1.4730887247746263,2.0203227852813446,0.4762313412557642,1.0423516281346945,-1.0535396851929002,-0.8024235898868661,0.27049180327868855,0.7295081967213115,1.3657742891877653,1.2080653064082372
LightGBM,target_price,Mid,364,1.777222471966548,2.7640530189709023,0.22502796263974076,1.2846067140914603,-0.33856762442818755,-0.05639138652425313,0.49175824175824173,0.5082417582417582,1.0450419018917783,1.0076652259384873
LightGBM,target_price,High,365,2.6787489195021186,3.659865898730227,0.19281473274609132,2.026421272116961,-0.13229517021409165,0.2920445531470772,0.5315068493150685,0.4684931506849315,1.0059573567280395,0.9768540103747628
LightGBM,target_price,Premium,365,6.97009098505278,9.423635490815409,0.19871323171961605,5.257121361403577,2.7105416278275123,2.546744294433015,0.6191780821917808,0.38082191780821917,0.936010367225693,0.9122216894953117
