correction,mae,rmse,mape,median_absolute_error,mean_residual,underprediction_rate,severe_error_rate,extreme_error_rate,r2
No correction (baseline),3.2245794645382704,5.336465796362892,0.27336887419894423,1.8199940856684726,0.2960450801071485,0.4780821917808219,0.1273972602739726,0.03356164383561644,0.8929515591928825
Additive segment correction,3.102333915326927,5.131267632174316,0.2518903330880636,1.7673253368628803,-3.893384853480001e-17,0.5534246575342465,0.10342465753424658,0.02054794520547945,0.9010257500504539
Multiplicative segment correction,3.157558038815412,5.416234503928688,0.2432430171197054,1.7202278729697693,-0.3700132336445018,0.49931506849315066,0.09794520547945205,0.01643835616438356,0.8897273517031001
Premium-only additive correction,3.141274324852718,5.161502515421704,0.2720487933789421,1.7887202242531313,-0.3815903268497296,0.44726027397260276,0.12945205479452054,0.03356164383561644,0.8998559450969902
