sample_id,actual_price,predicted_price,residual,absolute_error,absolute_percentage_error,price_segment
3172,1.0,6.011469064750234,-5.011469064750234,5.011469064750234,5.011469059738764,Low
6072,8.39,38.21203259477492,-29.822032594774917,29.822032594774917,3.5544734912062506,Mid
4352,1.0,4.353532066336245,-3.3535320663362453,3.3535320663362453,3.3535320629827132,Low
1672,1.3,5.576936777258055,-4.276936777258055,4.276936777258055,3.289951364590849,Low
4394,2.5,9.723896724036326,-7.223896724036326,7.223896724036326,2.8895586884587066,Low
5045,2.8,10.624375845156814,-7.824375845156815,7.824375845156815,2.7944199437008552,Low
1144,2.9,9.800400008644491,-6.900400008644491,6.900400008644491,2.3794482780224286,Low
3518,1.2,3.7437164745943994,-2.543716474594399,2.543716474594399,2.119763727062196,Low
3217,1.79,5.5334657275269095,-3.7434657275269094,3.7434657275269094,2.0913216343215573,Low
3982,3.0,8.688654400556354,-5.688654400556354,5.688654400556354,1.8962181328867118,Low
734,1.7,4.78071755282291,-3.08071755282291,3.08071755282291,1.8121867947121901,Low
3878,4.2,11.741612249275176,-7.541612249275176,7.541612249275176,1.7956219636856081,Low
1420,1.0,2.780019927959059,-1.7800199279590592,1.7800199279590592,1.780019926179039,Low
1421,1.9,5.246062243934047,-3.3460622439340475,3.3460622439340475,1.7610853906173485,Low
4030,1.7,4.639314338813713,-2.9393143388137126,2.9393143388137126,1.7290084335792377,Low
527,4.5,11.741612249275176,-7.241612249275176,7.241612249275176,1.6092471661479844,Low
5241,1.8,4.498501769802794,-2.698501769802794,2.698501769802794,1.4991676490575703,Low
1465,1.35,3.239024558661433,-1.8890245586614327,1.8890245586614327,1.3992774498238185,Low
5091,1.7,4.035952011049281,-2.3359520110492804,2.3359520110492804,1.3740894174559948,Low
6979,5.85,13.73711381363741,-7.887113813637411,7.887113813637411,1.348224583297297,Mid
5857,4.845,11.366695299799938,-6.521695299799938,6.521695299799938,1.3460671410637506,Low
4679,3.95,9.17949922778098,-5.2294992277809795,5.2294992277809795,1.3239238547992545,Low
4591,3.55,8.212998884367277,-4.662998884367277,4.662998884367277,1.3135208121278188,Low
3552,1.55,3.5427008685105945,-1.9927008685105945,1.9927008685105945,1.285613462725794,Low
1662,4.7,10.679373515402474,-5.979373515402474,5.979373515402474,1.2722071306660143,Low
7130,10.89,24.61625197545262,-13.72625197545262,13.72625197545262,1.2604455440029543,High
2316,2.7,5.96007404792462,-3.26007404792462,3.26007404792462,1.207434832117476,Low
5192,3.8,8.350142835505928,-4.550142835505928,4.550142835505928,1.1974060090285583,Low
3100,2.6,5.671223265303913,-3.0712232653039133,3.0712232653039133,1.181239716970259,Low
5372,2.899,6.311062342498443,-3.4120623424984426,3.4120623424984426,1.176979075999125,Low
