sample_id,actual_price,predicted_price,model_name,target_used,residual,absolute_error,squared_error,percentage_error,absolute_percentage_error,prediction_ratio,price_segment
5045,2.8,10.624375845156814,LightGBM,target_price,-7.824375845156815,7.824375845156815,61.220857366273414,-2.7944199437008552,2.7944199437008552,3.7944199433437125,Low
3878,4.2,11.741612249275176,LightGBM,target_price,-7.541612249275176,7.541612249275176,56.875915318417384,-1.7956219636856081,1.7956219636856081,2.795621963447513,Low
527,4.5,11.741612249275176,LightGBM,target_price,-7.241612249275176,7.241612249275176,52.44094796885228,-1.6092471661479844,1.6092471661479844,2.609247165925762,Low
4394,2.5,9.723896724036326,LightGBM,target_price,-7.223896724036326,7.223896724036326,52.18468387954276,-2.8895586884587066,2.8895586884587066,3.8895586880587065,Low
1144,2.9,9.800400008644491,LightGBM,target_price,-6.900400008644491,6.900400008644491,47.61552027930089,-2.3794482780224286,2.3794482780224286,3.379448277677601,Low
5857,4.845,11.366695299799938,LightGBM,target_price,-6.521695299799938,6.521695299799938,42.532509583432606,-1.3460671410637506,1.3460671410637506,2.346067140857352,Low
6060,5.69,12.160574650504454,LightGBM,target_price,-6.470574650504454,6.470574650504454,41.86833630775084,-1.1371835939134043,1.1371835939134043,2.137183593737657,Low
1662,4.7,10.679373515402474,LightGBM,target_price,-5.979373515402474,5.979373515402474,35.75290763669654,-1.2722071306660143,1.2722071306660143,2.272207130453248,Low
3982,3.0,8.688654400556354,LightGBM,target_price,-5.688654400556354,5.688654400556354,32.36078888896917,-1.8962181328867118,1.8962181328867118,2.8962181325533787,Low
5242,5.5,10.828410863252529,LightGBM,target_price,-5.328410863252529,5.328410863252529,28.39196232762756,-0.9688019749606777,0.9688019749606777,1.9688019747788594,Low
4679,3.95,9.17949922778098,LightGBM,target_price,-5.2294992277809795,5.2294992277809795,27.34766217336186,-1.3239238547992545,1.3239238547992545,2.32392385454609,Low
3379,5.0,10.074398136918784,LightGBM,target_price,-5.074398136918784,5.074398136918784,25.74951645196483,-1.014879627180781,1.014879627180781,2.0148796269807807,Low
3172,1.0,6.011469064750234,LightGBM,target_price,-5.011469064750234,5.011469064750234,25.11482218694858,-5.011469059738764,5.011469059738764,6.011469058738764,Low
5303,4.25,9.049587572781716,LightGBM,target_price,-4.799587572781716,4.799587572781716,23.036040868800686,-1.1293147227417415,1.1293147227417415,2.1293147225064475,Low
4591,3.55,8.212998884367277,LightGBM,target_price,-4.662998884367277,4.662998884367277,21.743558595610473,-1.3135208121278188,1.3135208121278188,2.3135208118461286,Low
5192,3.8,8.350142835505928,LightGBM,target_price,-4.550142835505928,4.550142835505928,20.703799823505925,-1.1974060090285583,1.1974060090285583,2.1974060087654004,Low
2486,4.686,9.235703521901456,LightGBM,target_price,-4.549703521901456,4.549703521901456,20.699802137202514,-0.9709141103138161,0.9709141103138161,1.9709141101004144,Low
3903,5.6,10.002321935972128,LightGBM,target_price,-4.402321935972129,4.402321935972129,19.380438427941392,-0.7861289169975,0.7861289169975,1.7861289168189285,Low
1672,1.3,5.576936777258055,LightGBM,target_price,-4.276936777258055,4.276936777258055,18.29218819666252,-3.289951364590849,3.289951364590849,4.289951363821618,Low
3544,4.75,8.99254467701611,LightGBM,target_price,-4.2425446770161095,4.2425446770161095,17.999185336477726,-0.8931673002364089,0.8931673002364089,1.8931673000258826,Low
