model_name,target_used,count,mae,rmse,mape,mean_residual,underprediction_rate,prediction_ratio_mean,prediction_ratio_median
CatBoost,log_target_price,365,7.59636077262306,10.485603331690845,0.21126165234594074,4.553579366324172,0.7123287671232876,0.8905814537674477,0.8860089040267963
CatBoost,target_price,365,6.8942131477831365,9.53651382113246,0.1948658435971282,3.3935812690232336,0.6493150684931507,0.924105155183626,0.9124242009239399
LightGBM,log_target_price,365,7.294594786714078,9.979602090984656,0.20466962356848364,3.389866063222082,0.663013698630137,0.916442154883034,0.8963381284839533
LightGBM,target_price,365,6.97009098505278,9.423635490815409,0.19871323171961605,2.7105416278275123,0.6191780821917808,0.936010367225693,0.9122216894953117
