model_name,target_used,count,mae,rmse,mape,mean_residual,overprediction_rate,prediction_ratio_mean
CatBoost,log_target_price,366,1.2282387966413002,1.6663438952619025,0.3924679584029194,-0.7654047608367676,0.7049180327868853,1.2837071828374702
CatBoost,target_price,366,1.550322788176152,2.1212751771554545,0.5085009401536632,-1.1539770474406703,0.7513661202185792,1.4036402900190634
LightGBM,log_target_price,366,1.227106987102283,1.6795066572688389,0.3929418511479701,-0.7114266015460803,0.6857923497267759,1.270945383327993
LightGBM,target_price,366,1.4730887247746263,2.0203227852813446,0.4762313412557642,-1.0535396851929002,0.7295081967213115,1.3657742891877653
